,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
1210,120,5,0.223630789,76.42915751,178.94,10.0,11,2.66455,2.9922,2.7625,2.7625,1,-1.0002728521999182,Accuracy,117,Accuracy,False
1206,120,5,0.223630789,58.72646465,117.48,6.666666667,9,1.8045,2.5669999999999997,2.0466,2.3375,2,-1.6328139385106661,Accuracy,113,Accuracy,False
1096,120,5,0.254892354,34.39166667,86.48,3.333333333,4,0.8733833329999999,1.7579,0.6935600000000001,0.8835,5,-1.4560214794738027,Accuracy,63,Accuracy,False
1081,120,5,0.254892354,35.22803571,73.48,3.333333333,4,0.917233333,1.3497,0.6209600000000001,0.8823,5,-1.829570419652283,Accuracy,48,Accuracy,False
1538,120,5,0.451450497,51.17570313,115.31,2.222222222,4,1.030477778,1.8451,0.9727375,1.3182,8,-1.8719957841678971,Accuracy,125,Accuracy,False
1180,120,5,0.27560500000000004,38.53674627,102.98,5.0,6,1.550175,2.0117,1.4683333330000001,1.5413,3,-0.506854388538847,Accuracy,77,Accuracy,False
1424,120,5,0.442727895,40.19628114,91.47,3.333333333,5,1.844783333,2.8526,1.26152,1.683,5,-0.1848408338416334,Accuracy,81,Accuracy,False
1322,120,5,0.40496973700000005,45.30366755,108.84,3.333333333,8,1.209133333,2.7349,0.8829799999999999,1.4674,5,0.18287140060609675,Accuracy,49,Speed,False
1526,120,5,0.451450497,37.87435101,82.08,2.222222222,5,1.064055556,2.5034,1.183725,1.9771,8,-1.975652437228021,Accuracy,113,Accuracy,False
1655,120,5,0.211221579,32.14410377,87.95,6.666666667,8,1.2292,1.3876,1.4682,1.4692,2,-1.536200969833395,Accuracy,62,Accuracy,False
1461,120,5,0.403017105,74.71793388,170.42,5.0,11,2.679425,4.2367,0.7357,1.7587,3,-1.0002775911790682,Accuracy,18,Accuracy,False
1845,120,5,0.28958236800000003,80.09174051,164.13,10.0,12,3.1878,3.9265,2.8531,2.8531,1,-1.325537998435733,Accuracy,112,Accuracy,False
1088,120,5,0.254892354,40.46907121,78.64,2.5,4,0.696725,1.5032,0.6955428570000001,0.9551,7,-2.096946678587889,Accuracy,55,Accuracy,False
1478,120,5,0.403017105,48.71864865,115.17,2.857142857,5,1.593528571,2.347,3.280833333,7.0228,6,-2.758641812501174,Accuracy,35,Accuracy,False
954,80,3,0.382399459,26.48090517,61.33,4.0,8,1.7087599999999998,3.3076,1.618625,1.8576,4,-0.6538642184592991,Speed,91,Accuracy,False
307,80,3,0.469810526,41.29113341,121.49,2.857142857,6,2.5048,3.6743,1.43605,1.9962,6,1.0004132332531959,Speed,84,Speed,False
